424
Year,Month,Day,TempMax,TempAvg,TempMin,DewPointMax,DewPointAvg,DewPointMin,HumidityMax,HumidityAvg,HumidityMin,WindMax,WindAvg,WindMin,PressureMax,PressureAvg,PressureMin,Precipitation
2018,1,1,43,36,32,32,30.1,28,89,79.5,62,12,8.7,5,29.9,29.9,29.8,0
2018,1,2,43,38.4,34,34,31.4,30,86,76.3,60,15,7.9,0,29.9,29.8,29.8,0
2018,1,3,49,39.6,33,35,32.8,30,92,77.9,52,12,8.6,3,29.8,29.7,29.6,0
2018,1,4,47,42.4,36,42,38.4,33,97,85.8,71,8,2.8,0,29.6,29.5,29.5,0
2018,1,5,51,47.8,45,49,45,42,100,90.1,77,17,6.9,0,29.6,29.5,29.5,0.2
2018,1,6,48,44.9,43,47,42,40,100,89.8,77,21,10.5,6,29.8,29.7,29.6,0.48
2018,1,7,45,43.5,41,43,41.5,39,96,92.6,86,12,6.4,0,29.7,29.6,29.5,0.13
2018,1,8,48,45.1,43,45,43.7,42,100,95.1,83,10,4,0,29.4,29.3,29.2,0.35
2018,1,9,46,44.8,43,45,43,37,100,93.7,79,17,7.6,0,29.4,29.2,29.1,0.31
2018,1,10,45,43,42,41,38.2,37,96,83.1,76,17,10.6,5,29.6,29.5,29.4,0.01
2018,1,11,50,46,42,48,44.3,41,100,94.2,86,15,9.5,5,29.6,29.4,29.2,0.21
2018,1,12,51,49.3,48,48,46.6,45,100,90.9,80,21,10.9,6,29.9,29.8,29.6,1.1
2018,1,13,58,50.1,45,51,47.3,43,96,90.4,75,12,6.6,0,30,29.9,29.8,0.08
2018,1,14,54,46.3,40,46,42.4,39,97,86.8,71,13,5.7,0,29.8,29.7,29.6,0.01
2018,1,15,63,50.4,41,46,40.6,36,100,72.7,40,22,8.5,3,29.6,29.5,29.4,0
2018,1,16,54,49.4,44,48,43.5,37,97,81.2,55,16,8.2,0,29.8,29.7,29.6,0.18
2018,1,17,56,50.1,45,49,42.7,35,96,76.6,53,22,9.2,0,29.6,29.4,29.3,0.07
2018,1,18,52,44.1,39,43,39.6,36,96,84.3,63,17,10.1,0,29.4,29.3,29.3,0.63
2018,1,19,46,43.2,38,39,36.6,34,86,77.6,68,17,11.4,7,29.5,29.4,29.4,0.2
2018,1,20,49,43.2,40,40,37.4,35,89,80.5,59,22,13.7,9,29.6,29.5,29.5,0.06
2018,1,21,51,46.2,40,40,37.2,34,89,71.8,52,29,17.5,10,29.6,29.4,29.3,0.05
2018,1,22,47,42.5,40,40,37.9,35,93,83.9,71,18,10.6,6,29.8,29.7,29.6,0.22
2018,1,23,48,43.1,41,46,38.1,31,93,82.8,62,14,8.4,3,29.8,29.5,29.2,0.25
2018,1,24,49,45.4,41,46,41.5,37,93,86,77,18,10.2,5,29.3,29.2,29.1,1
2018,1,25,44,40.4,39,39,35.9,30,93,84.2,65,18,10.5,0,29.5,29.3,29.2,0.32
2018,1,26,42,40.1,38,39,37.3,35,97,89.8,83,16,11.6,6,29.7,29.6,29.5,0.18
2018,1,27,48,44.6,41,43,40.4,38,93,85.3,74,25,15.3,3,29.9,29.6,29.3,0.78
2018,1,28,56,48.8,43,50,45.8,42,97,89.6,75,15,8.5,3,29.9,29.8,29.8,0.16
2018,1,29,52,47.2,43,49,43,39,96,85.5,77,21,12.8,3,29.8,29.5,29.4,0.05
2018,1,30,47,43.1,39,39,36.9,34,89,78.8,68,18,14,7,29.7,29.7,29.6,1.09
